"Refactor - Java","Move - Refactoring ","⌥⌘V","In Windows"
"Uncategorized","Add Artifact to Target Platform","⇧⌥⌘A","In Windows"
"Run/Debug","Run Java Application","⌥⌘X J","In Windows"
"File","New menu","⌥⌘N","In Windows"
"Source","Open Super Implementation","⇧F5","Editing ActionScript Source 2"
"Source","Quick Outline","⌘O","Editing ActionScript Source 2"
"Source","Open Declaration","F3","Editing ActionScript Source 2"
"Edit","Quick Fix","⌘1","In Dialogs and Windows"
"Edit","Select Next Element","⇧⌃→","Editing in Structured Text Editors"
"Window","Quick Switch Editor","⌘E","In Windows"
"Run/Debug","Inspect","⇧⌘I","In Dialogs and Windows"
"Source","Quick Assist - Assign to var","⌘2 F","Editing JavaScript Source"
"Run/Debug","Run Eclipse Application","⌥⌘X E","In Windows"
"Edit","Next Sibling","⇧⌘↓","Editing in Structured Text Editors"
"Run/Debug","FDT SWF Flex Unit Test (Debug)","⇧⌥D F","Editing ActionScript Source or Flash Explorer"
"Run/Debug","FDT AIR Flex Unit Test (Debug)","⇧⌥D S","Editing ActionScript Source or Flash Explorer"
"Navigate","Quick Outline","⇧⌘O","Task Markup Editor Source Context"
"Manifest Editor Source","Format Source","⇧⌘F","PDE editor"
"Source","Organize Imports","⇧⌘O","JavaScript View"
"Text Editing","Select Line Start","⇧⌘←","Editing Text"
"Source","Quick Assist - Rename in file","⌘2 R","Editing JavaScript Source"
"Source","Open External Documentation","⇧F2","Editing Ant Buildfiles"
"Navigate","Go to Matching Bracket","⇧⌘P","Editing JavaScript Source"
"Run/Debug","Run JUnit Plug-in Test","⌥⌘X P","In Windows"
"Task Repositories","Mark Task Complete","⇧⌥C","In Tasks View"
"Run/Debug","FDT Toggle Breakpoint","⇧⌘B","Editing ActionScript Source 2"
"Navigate","Previous Sub-Tab","⌥⇞","In Dialogs and Windows"
"Navigate","Go to Matching Bracket","⇧⌘P","Editing Java Source"
"Navigate","Go to Next Member","⌃⌥↓","Editing Java Source"
"Window","Show System Menu","⇧⌘F10","In Windows"
"Edit","Add Maven Dependency","⇧⌃D","Editing XML Source"
"Navigate","Quick Outline","⌘O","PDE editor"
"Search","Declaration in Workspace","⌘G","In Windows"
"Navigate","Open Task","⌥⌘F12","In Windows"
"Source","Toggle Comment","⌘7","Editing Properties Files"
"Edit","Open Selection","F3","Editing in Structured Text Editors"
"Terminal view commands","Terminal view insert","⌥V","Terminal widget context"
"Edit","Add Maven Plugin","⇧⌃P","Editing XML Source"
"Source","Format","⇧⌘F","Editing Ant Buildfiles"
"Task Repositories","Open Selected Task","⌘↩","In Tasks View"
"Run/Debug","Debug XSLT Transformation","⌥⌘D X","In Windows"
"Views","Show View (History)","⌥⌘Q Z","In Windows"
"Text Editing","Text End","↘","Editing Text"
"Run/Debug","EOF","⌃D","In I/O Console"
"Focused UI","Make Less Interesting","⇧⌥⌘↓","In Windows"
"Source","Quick Assist - Assign to local variable","⌘2 L","Editing Java Source"
"Source","Rename In File","⌥⌘R","Editing Ant Buildfiles"
"Edit","Select Enclosing Element","⇧⌥↑","Editing in Structured Text Editors"
"Run/Debug","Run Maven Build","⇧⌥X M","In Windows"
"Text Editing","Expand","⌘Numpad_Add","Editing Text"
"Edit","Select Previous Element","⇧⌃←","Editing JavaScript Source"
"Terminal view commands","Terminal view insert","⌥P","Terminal widget context"
"Uncategorized","Copy SHA-1","⌘C","In Git Reflog View"
"Navigate","Previous","⇧⌘.","In Windows"
"Window","Switch to Editor","⇧⌘E","In Windows"
"Navigate","Open Structure","⌘F3","Editing Java Source"
"Run/Debug","Debug Java Application","⌃⌥⌘D J","In Windows"
"EMF Code Generation","Generate Code","⇧⌥G","In Windows"
"Run/Debug","Debug JUnit Test","⌃⌥⌘D T","In Windows"
"Project","Build All","⌘B","In Windows"
"Run/Debug","FDT SWF Application (Debug)","⇧⌥D M","Editing ActionScript Source or Flash Explorer"
"Source","Add JSDoc Comment","⌥⌘J","JavaScript View"
"Source","Quick Open Type","⇧⌘T","Editing ActionScript Source or Flash Explorer"
"Source","Surround With Quick Menu","⌥⌘Z","JavaScript View"
"Run/Debug","Next Memory Monitor","⌥⌘N","In Memory View"
"Text Editing","Toggle Folding","⌘Numpad_Divide","Editing Text"
"Navigate","Open Plug-in Artifact","⇧⌘A","In Windows"
"Text Editing","Next Word","⌥→","Editing Text"
"Text Editing","Select Next Word","⇧⌥→","Editing Text"
"Navigate","Collapse All","⇧⌘Numpad_Divide","In Windows"
"Navigate","Open Maven POM","⇧⌥P","In Windows"
"Run/Debug","Add Memory Block","⌥⌘M","In Memory View"
"Navigate","Previous Page","⇧⌘F5","In Faces Config Editor"
"Database Tools","Edit in SQL Query Builder...","⌥Q","Editing SQL"
"Navigate","Forward History","⌥⌘→","In Windows"
"Navigate","Open Structure","⌘F3","Editing JavaScript Source"
"Spy","Plug-in Menu Spy","⇧⌥F2","In Dialogs and Windows"
"Terminal view commands","Terminal view insert","⌥S","Terminal widget context"
"Edit","Matching Tag","⇧⌃.","Editing in Structured Text Editors"
"Source","Quick Type Hierarchy","⌘T","Editing ActionScript Source 2"
"Source","Add Javadoc Comment","⌥⌘J","In Windows"
"File","Quick Explore","⌘4","In Windows"
"Source","Remove Occurrence Annotations","⌥⌘U","Editing Java Source"
"Edit","Delete","⌦","In Windows"
"Text Editing","Delete to End of Line","⇧⌘⌦","Editing Text"
"Run/Debug","FDT Plugin","⇧⌥X P","Editing ActionScript Source or Flash Explorer"
"Text Editing","Collapse All","⇧⌘Numpad_Divide","Editing Text"
"Navigate","Open Type Hierarchy","F4","In Windows"
"Source","Remove Block Comment","⇧⌘\","Editing JavaScript Source"
"Navigate","Quick Hierarchy","⌘T","Editing JavaScript Source"
"Edit","Add Block Comment","⇧⌘/","Editing in Structured Text Editors"
"Edit","Select Next Element","⇧⌃→","Editing Java Source"
"Navigate","Search Repository for Task","⇧⌘F12","In Windows"
"Run/Debug","Toggle Memory Monitors Pane","⌘T","In Memory View"
"Edit","Previous Sibling","⇧⌃↑","Editing in Structured Text Editors"
"Navigate","Show In Breadcrumb","⌥⌘B","Editor Breadcrumb Navigation"
"Navigate","Backward History","⌘[","In Windows"
"Window","Previous Editor","⇧⌘F6","In Windows"
"Run/Debug","Run Ant Build","⌥⌘X Q","In Windows"
"Edit","Rename","⇧⌥R","Editing JSP Source"
"Navigate","Quick Hierarchy","⌘T","Editing Java Source"
"Search","Find References","⌘R","Editing ActionScript Source or Flash Explorer"
"Terminal view commands","Terminal view insert","⌥W","Terminal widget context"
"Navigate","Go To Previous Unread Task","⌥↑","In Tasks View"
"ASA 9.x table schema editor","Cut","⌥X","In Windows"
"Run/Debug","New Rendering","⌘N","In Memory View"
"Views","Show View (Javadoc)","⌥⌘Q J","In Windows"
"Views","JavaScript Type Hierarchy","⌥⌘Q T","JavaScript View"
"Text Editing","Move Lines Up","⌥↑","Editing Text"
"Terminal view commands","Terminal view insert","⌥E","Terminal widget context"
"Edit","Select Next Element","⇧⌃→","Editing JavaScript Source"
"Navigate","Show In...","⌥⌘W","In Windows"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Run/Debug","Reset Compilers","⇧⌥C M","Editing ActionScript Source or Flash Explorer"
"Edit","Find Next","⌘K","Editing Text"
"Window","Maximize Active View or Editor","⌃M","In Windows"
"Refactor - Java","Rename - Refactoring ","⌥⌘R","In Windows"
"Run/Debug","Terminate","⌘F2","Debugging"
"Web Page Editor Layout","Horizontal Layout","⇧⌘F10","Using Web Page Editor"
"Text Editing","Scroll Line Down","⌃↓","Editing Text"
"Text Editing","To Lower Case","⇧⌘Y","Editing Text"
"Source","Quick Assist - Assign to local variable","⌘2 L","Editing JavaScript Source"
"Source","Toggle Comment","⇧⌘C","Editing JavaScript Source"
"Edit","Copy","⌘C","In Dialogs and Windows"
"Edit","Select Enclosing Element","⇧⌃↑","Editing JavaScript Source"
"Database Tools","Debug","⌥⌘D","Editing SQL"
"Run/Debug","FDT AIR Application","⇧⌥X N","Editing ActionScript Source or Flash Explorer"
"Run/Debug","All Instances","⇧⌘N","In Windows"
"Navigate","Go To Next Unread Task","⌥↓","In Tasks View"
"Text Editing","Text Start","⌘↖","Editing Text"
"Source","Organize Imports","⇧⌘O","In Windows"
"Git","Copy Path to Clipboard","⌘C","In Git Repositories View"
"SQL Results View","Terminate Result","⌘Break","In Windows"
"Task Repositories","Mark Task Incomplete","⇧⌥I","In Tasks Editor"
"Source","Add Block Comment","⌃⌘/","Editing Java Source"
"Navigate","Open Declaration","F3","JavaScript View"
"Source","Format","⇧⌘F","Editing JavaScript Source"
"Navigate","Previous Page","⇧⌥F7","In Windows"
"Edit","Word Completion","⌃.","Editing Text"
"Task Repositories","New Subtask","⇧Insert","In Tasks View"
"Refactor - JavaScript","Show Refactor Quick Menu","⌥⌘T","JavaScript View"
"Source","Open in FDT Explorer","F2","Editing ActionScript Source 2"
"Refactor - JavaScript","Move - Refactoring ","⌥⌘V","JavaScript View"
"Views","JavaScript Declaration","⌥⌘Q D","JavaScript View"
"Server","Publish","⌥⌘P","In Servers View"
"File","Close All","⇧⌘W","In Windows"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Task Repositories","Mark Task Read and Go To Previous Unread Task","⇧⌥↑","In Tasks View"
"Edit","Select Previous Element","⇧⌃←","Editing Java Source"
"Window","Show Key Assist","⇧⌘L","In Dialogs and Windows"
"Text Editing","To Upper Case","⇧⌘X","Editing Text"
"Web Page Editor Layout","Vertical Layout","⇧⌘F9","Using Web Page Editor"
"Database Tools","Execute Current Text","⌥S","Editing SQL"
"File","New","⌘N","In Windows"
"Database Tools","Goto Matching Token","⇧⌘P","Editing SQL"
"Task Repositories","Mark Task Unread","⇧⌥U","In Tasks View"
"Source","Toggle Comment","⇧⌘C","Editing Java Source"
"Edit","Toggle Comment","⌘/","Editing SQL"
"Run/Debug","Java Breakpoint Properties","⌥↩","In Breakpoints View"
"Task Repositories","Mark Task Read and Go To Next Unread Task","⇧⌥↓","In Tasks View"
"Views","JavaScript Script Explorer","⌥⌘Q P","JavaScript View"
"Task Repositories","Mark Task Read","⇧⌥R","In Tasks Editor"
"Source","Duplicate Line","⇧⌘D","Editing ActionScript Source 2"
"Navigate","Next Page","⌥F7","In Windows"
"Run/Debug","Run on Server","⇧⌥X R","In Windows"
"Run/Debug","Resume","F8","Debugging"
"Search","Find Text in Workspace","⌥⌘G","In Windows"
"Window","Quick Access","⌘3","In Windows"
"Run/Debug","Debug Ant Build","⌃⌥⌘D Q","In Windows"
"Views","Show View (Error Log)","⌥⌘Q L","In Windows"
"Text Editing","Select Text End","⇧↘","Editing Text"
"View","Zoom Out","⌘-","In Windows"
"Run/Debug","Debug OSGi Framework","⌃⌥⌘D O","In Windows"
"JavaScript Debug","JavaScript Breakpoint Properties","⌘↩","In Breakpoints View"
"Run/Debug","FDT AIR Application (Debug)","⇧⌥D N","Editing ActionScript Source or Flash Explorer"
"Run/Debug","Close Rendering","⌘W","In Memory View"
"Refactor - Java","Show Refactor Quick Menu","⌥⌘T","In Windows"
"Uncategorized","Show Markup Cheat Sheet","F1","WikiText Markup Source Context"
"Database Tools","Execute Selected Text As One Statement","⌥C","Editing SQL"
"Terminal view commands","Terminal view insert","⌥H","Terminal widget context"
"Refactor","Extract Constant","⌥⌘K","Editing ActionScript Source 2"
"Text Editing","Select Line End","⇧⌘→","Editing Text"
"Task Repositories","Quick Outline","⌘O","In Tasks Editor"
